date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:04:40	1444/1444	---M-Z	404	error ('Not%20Found')	text/html	etag:1602219465-ssl-df	https://www.capitalreturnsinc.com/robots.txt		(from )
16:04:41	250146/250146	---MCZ	200	added ('OK')	text/html	etag:%226fdca8b329bfc0bdf3eb308f07ecc42f-ssl-df%22	https://www.capitalreturnsinc.com/	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/index.html	(from )
16:04:42	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1602219465-ssl-df	https://www.capitalreturnsinc.com/feed	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/feed.0.delayed	(from https://www.capitalreturnsinc.com/)
16:04:43	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1602219465-ssl-df	https://www.capitalreturnsinc.com/comments/feed	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/comments/feed.1.delayed	(from https://www.capitalreturnsinc.com/)
16:04:44	693/693	---M--	200	added ('OK')	text/css	etag:%22087605706fbce99384275f13c31f4c9c-ssl%22	https://www.capitalreturnsinc.com/wp-content/plugins/gtranslate/gtranslate-style245697.css?ver=5.5.3	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/gtranslate/gtranslate-style2456975697.css	(from https://www.capitalreturnsinc.com/)
16:04:45	24621/24621	---MCZ	200	added ('OK')	text/css	etag:%22cb4cdb9853f849bd29721b1d8c6fb0c1-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/plugins/user-registration/assets/css/sweetalert2/sweetalert2.min782a.css?ver=8.17.1	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/user-registration/assets/css/sweetalert2/sweetalert2.min782a782a.css	(from https://www.capitalreturnsinc.com/)
16:04:46	38081/38081	---MCZ	200	added ('OK')	text/css	etag:%22f5b9f4f9d71d5e7f26f42ff32f18daf9-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/plugins/user-registration/assets/css/user-registration5f00.css?ver=1.9.4.1	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/user-registration/assets/css/user-registration5f005f00.css	(from https://www.capitalreturnsinc.com/)
16:04:47	732/732	---M--	200	added ('OK')	text/css	etag:%22da9c5f6bdeede8b59866e08b7409cf24-ssl%22	https://www.capitalreturnsinc.com/wp-content/plugins/user-registration/assets/css/user-registration-smallscreen5f00.css?ver=1.9.4.1	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/user-registration/assets/css/user-registration-smallscreen5f005f00.css	(from https://www.capitalreturnsinc.com/)
16:04:48	3427/3427	---MCZ	200	added ('OK')	text/css	etag:%22c7d1013f1a80b3d940af8d768c50655f-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/plugins/user-registration/assets/css/my-account-layout5f00.css?ver=1.9.4.1	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/user-registration/assets/css/my-account-layout5f005f00.css	(from https://www.capitalreturnsinc.com/)
16:04:49	59021/59021	---MCZ	200	added ('OK')	text/css	etag:%221dc204b542620056a8e07203a317ca84-ssl-df%22	https://www.capitalreturnsinc.com/wp-includes/css/dashicons.min5697.css?ver=5.5.3	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-includes/css/dashicons.min56975697.css	(from https://www.capitalreturnsinc.com/)
16:04:50	53907/53907	---MCZ	200	added ('OK')	text/css	etag:%22d4ec9d4d9e55e77d74e48673a83f43dd-ssl-df%22	https://www.capitalreturnsinc.com/wp-includes/css/dist/block-library/style.min5697.css?ver=5.5.3	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-includes/css/dist/block-library/style.min56975697.css	(from https://www.capitalreturnsinc.com/)
16:04:50	2218/2218	---M-Z	200	added ('OK')	text/css	etag:%221c2e1040e62cd1fe03182e625b67ad20-ssl-df%22	https://www.capitalreturnsinc.com/wp-includes/css/dist/block-library/theme.min5697.css?ver=5.5.3	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-includes/css/dist/block-library/theme.min56975697.css	(from https://www.capitalreturnsinc.com/)
16:04:52	2967/2967	---MCZ	200	added ('OK')	text/css	etag:%22713f49334284e6c103cc8b8479245a52-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style6b00.css?ver=3.4.0	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style6b006b00.css	(from https://www.capitalreturnsinc.com/)
16:04:53	164636/164636	---MCZ	200	added ('OK')	text/css	etag:%22c326fdb8d8cd26f4107c0731ae46865c-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style6b00.css?ver=3.4.0	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style6b006b00.css	(from https://www.capitalreturnsinc.com/)
16:04:53	87512/87512	---MCZ	200	added ('OK')	text/css	etag:%222ac588fe23c71daca5b455c7e559e07e-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/css/eae.min5697.css?ver=5.5.3	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/css/eae.min56975697.css	(from https://www.capitalreturnsinc.com/)
